FullName,NativeCountry,Gender,Age,MaritalStatus,EconomicStatus,IndustrialGroup,HighestEducationCompleted,FieldOfStudy,County
Hugh Kennedy,Ireland,male,43,Married (first marriage),Looking after home/family,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Management and administration,Wicklow
Ava O'Brien,Ireland,female,29,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Upper secondary,Law,Cork City
Eoghan O'Brien,Ireland,male,39,Married (first marriage),Unemployed having lost or given up previous job,Financial and insurance activities (K),Upper secondary,Secretarial and office work,Dublin City
Anna NEGRESCU ,Romania,female,46,Married (first marriage),Employer or own account worker,Human health and social work activities (Q),Lower secondary,Nursing and caring,Mayo
Evan McCarthy,Ireland,male,64,Married (first marriage),Unemployed having lost or given up previous job,Professional/scientific and technical activities (M),Upper secondary,Other social sciences/business and law subjects,Cavan
Laoise O'Neill,Ireland,female,43,Married (first marriage),Looking after home/family,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Honours bachelor degree/professional qualification or both,Medicine,Donegal
Adam Bartoszek,Poland,male,45,Married (first marriage),Employee,Construction (F),Honours bachelor degree/professional qualification or both,Management and administration,Fingal
Lorcan Walsh,Ireland,male,25,Single,Unemployed having lost or given up previous job,Transportation and storage (H),Technical/vocational,Other engineering/manufacturing and construction,Fingal
Robert Murphy,Ireland,male,20,Single,Employee,Information and communication (J),Postgraduate diploma or degree,Marketing and advertising,North Tipperary
Konrad Guzowski,Poland,male,54,Single,Employee,Education (P),Upper secondary,Crop and livestock production,Kilkenny
Berndt Carlsson,Sweden,male,27,Single,Looking after home/family,Construction (F),Upper secondary,Engineering and engineering trades (broad programmes),Cork County
Kayleigh Lynch,Ireland,female,75,Single,Looking after home/family,Education (P),Lower secondary,Computer science,Limerick County
Oliver O'Brien,Ireland,male,53,Married (first marriage),Retired,Industry not stated,Honours bachelor degree/professional qualification or both,Foreign languages,Waterford County
Olivia O'Sullivan,Ireland,female,22,Single,Unemployed having lost or given up previous job,Public administration and defence; compulsory social security (O),Upper secondary,Medicine,Dun Laoghaire-Rathdown
Cara O'Ryan,Ireland,female,38,Single,Employee,Other service activities (S),Honours bachelor degree/professional qualification or both,Business and administration (broad programmes),Cork County
Molly Murphy,Ireland,female,29,Single,Employee,Education (P),Lower secondary,Hotel/restaurant and catering,Dublin City
Sarah O'Neill,Ireland,female,52,Married (first marriage),Employee,Accommodation and food service activities (I),Upper secondary,Hair and beauty services,Dublin City
Molly Doherty,Ireland,female,16,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Nursing and caring,Wexford
THIAM Chahine,Mauritius,male,79,Widowed,Retired,Industry not stated,Primary,Engineering and engineering trades (broad programmes),South Tipperary
Rian O'Reilly,Ireland,male,36,Separated (including deserted),Employer or own account worker,Water supply; sewerage/waste management and remediation activities (E),Postgraduate diploma or degree,Other science/mathematics and computing,Wicklow
Scott O'Neill,Ireland,male,50,Re-married (following dissolution of previous marriage),Unemployed having lost or given up previous job,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Postgraduate diploma or degree,Other arts,Cavan
Rian O'Sullivan,Ireland,male,67,Married (first marriage),Looking after home/family,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Ordinary bachelor degree/professional qualification or both,Other engineering/manufacturing and construction,Sligo
Aaron O'Sullivan,Ireland,male,59,Married (first marriage),Employee,Professional/scientific and technical activities (M),Technical/vocational,Other agriculture and veterinary,Kerry
Rian O'Reilly,Ireland,male,34,Married (first marriage),Employer or own account worker,Public administration and defence; compulsory social security (O),Honours bachelor degree/professional qualification or both,Other engineering/manufacturing and construction,Dublin City
Laura McCarthy,Ireland,female,52,Divorced,Employer or own account worker,Accommodation and food service activities (I),Postgraduate diploma or degree,Education and teacher training,Dublin City
Ruby O'Sullivan,Ireland,female,19,Single,Student or pupil,Human health and social work activities (Q),Lower secondary,Secretarial and office work,Fingal
Sarah O'Sullivan,Ireland,female,33,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Advanced certificate/completed apprenticeship,Physical sciences (physics/chemistry/earth science),Dublin City
Cathal O'Sullivan,Ireland,male,51,Divorced,Employee,Human health and social work activities (Q),Postgraduate diploma or degree,Other social sciences/business and law subjects,Dublin City
Cillian O'Kelly,Ireland,male,63,Married (first marriage),Employer or own account worker,Construction (F),Primary,Motor vehicles/ships and aircraft,Cork County
Emma Robinson,Australia,female,40,Married (first marriage),Employee,Accommodation and food service activities (I),Higher certificate,Biology and biochemistry,Roscommon
Tomasz Bosko,Poland,male,53,Divorced,Looking after home/family,Public administration and defence; compulsory social security (O),Honours bachelor degree/professional qualification or both,Economics,Limerick County
Saoirse O'Neill,Ireland,female,53,Single,Unemployed having lost or given up previous job,Other service activities (S),Honours bachelor degree/professional qualification or both,Accounting and taxation,Dun Laoghaire-Rathdown
Orla Murphy,Ireland,female,68,Married (first marriage),Looking after home/family,Administrative and support service activities (N),Technical/vocational,Other engineering/manufacturing and construction,Clare
Daniel McCarthy,Ireland,male,30,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Ordinary bachelor degree/professional qualification or both,Building and civil engineering,Fingal
Charlie Murphy,Ireland,male,35,Married (first marriage),Unemployed having lost or given up previous job,Administrative and support service activities (N),Upper secondary,Mechanics and metalwork,Waterford County
Lara O'Neill,Ireland,female,62,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Primary,Child care and youth services,Meath
Ella Lynch,Ireland,female,65,Widowed,Retired,Industry not stated,Primary,Child care and youth services,Kildare
Callum O'Reilly,Ireland,male,32,Single,Unemployed having lost or given up previous job,Other service activities (S),Upper secondary,Accounting and taxation,Fingal
Thomas Murphy,Ireland,male,48,Married (first marriage),Employee,Accommodation and food service activities (I),Lower secondary,Building and civil engineering,Donegal
Laura O'Sullivan,Ireland,female,52,Married (first marriage),Looking after home/family,Human health and social work activities (Q),Upper secondary,Education and teacher training,Cork County
Laura O'Neill,Ireland,female,27,Single,Employee,Human health and social work activities (Q),Higher certificate,Nursing and caring,Cork City
Ciara McCarthy,Ireland,female,41,Married (first marriage),Unemployed having lost or given up previous job,Administrative and support service activities (N),Honours bachelor degree/professional qualification or both,Child care and youth services,Mayo
Maria Filipiak,Poland,female,83,Married (first marriage),Retired,Industry not stated,Lower secondary,Hair and beauty services,Kerry
Patryk O'Neill,Ireland,male,84,Single,Retired,Industry not stated,Upper secondary,Design,Carlow
Hannah O'Kelly,Ireland,female,22,Single,Employee,Human health and social work activities (Q),Upper secondary,Social work and counselling,Galway County
Emily McCarthy,Ireland,female,47,Married (first marriage),Employee,Administrative and support service activities (N),Higher certificate,Engineering and engineering trades (broad programmes),Limerick County
Finn O'Neill,Ireland,male,31,Single,Employee,Public administration and defence; compulsory social security (O),Upper secondary,Other engineering/manufacturing and construction,Dublin City
Michael Kennedy,Ireland,male,22,Single,Student or pupil,Agriculture/forestry and fishing (A),Advanced certificate/completed apprenticeship,Crop and livestock production,Wicklow
William Murray,Ireland,male,36,Single,Unable to work due to permanent sickness or disability,Construction (F),Honours bachelor degree/professional qualification or both,Motor vehicles/ships and aircraft,Louth
Zoe Murphy,Ireland,female,31,Married (first marriage),Employer or own account worker,Education (P),Technical/vocational,Nursing and caring,Kilkenny
Oscar O'Kelly,Ireland,male,71,Married (first marriage),Retired,Industry not stated,Upper secondary,Business and administration (broad programmes),Offaly
Harry O'Connor,Ireland,male,74,Single,Unable to work due to permanent sickness or disability,Financial and insurance activities (K),Primary,Motor vehicles/ships and aircraft,Dublin City
Charlie Kelly,Ireland,male,52,Widowed,Unable to work due to permanent sickness or disability,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Motor vehicles/ships and aircraft,Dublin City
James O'Byrne,Ireland,male,58,Divorced,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Primary,Audio-visual techniques and media production,Louth
Michaela O'Byrne,Ireland,female,40,Married (first marriage),Looking after home/family,Human health and social work activities (Q),Advanced certificate/completed apprenticeship,Other personal services,Kerry
Jim Jones,United States of America,male,81,Single,Retired,Industry not stated,Lower secondary,Other agriculture and veterinary,Kerry
Petr Bakalar,Czech Republic,male,55,Married (first marriage),Employee,Electricity/gas/steam and air conditioning supply (D),Upper secondary,Other social sciences/business and law subjects,Kerry
Denis McCarthy,Ireland,male,51,Re-married (following dissolution of previous marriage),Retired,Industry not stated,Upper secondary,Building and civil engineering,Fingal
Kevin Byrne,Ireland,male,41,Single,Employee,Public administration and defence; compulsory social security (O),Postgraduate diploma or degree,Secretarial and office work,Limerick City
Sara Doherty,Ireland,female,41,Married (first marriage),Unable to work due to permanent sickness or disability,Manufacturing (C),Upper secondary,Nursing and caring,Wexford
Niamh Murphy,Ireland,female,52,Married (first marriage),Unable to work due to permanent sickness or disability,Financial and insurance activities (K),Ordinary bachelor degree/professional qualification or both,Education and teacher training,South Dublin
Darragh O'Sullivan,Ireland,male,60,Married (first marriage),Looking after home/family,Construction (F),Technical/vocational,Architecture and town planning,Wexford
Eimear O'Reilly,Ireland,female,24,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Higher certificate,Other social sciences/business and law subjects,Westmeath
Mia O'Byrne,Ireland,female,70,Widowed,Retired,Industry not stated,Advanced certificate/completed apprenticeship,Medicine,South Dublin
Jacob O'Neill,Ireland,male,62,Married (first marriage),Retired,Industry not stated,Primary,Audio-visual techniques and media production,Cork City
Yuri Kozlov,Russian Federation,male,70,Married (first marriage),Retired,Industry not stated,Lower secondary,Other engineering/manufacturing and construction,Dublin City
Eoin O'Kelly,Ireland,male,52,Married (first marriage),Employee,Information and communication (J),Upper secondary,Electricity and energy,Carlow
Dylan O'Connor,Ireland,male,39,Married (first marriage),Unemployed having lost or given up previous job,Real estate activities (L),Higher certificate,Other engineering/manufacturing and construction,Cork County
Evan O'Neill,Ireland,male,22,Single,Employee,Construction (F),Honours bachelor degree/professional qualification or both,Engineering and engineering trades (broad programmes),South Dublin
Chloe Byrne,Ireland,female,37,Married (first marriage),Looking after home/family,Public administration and defence; compulsory social security (O),Lower secondary,History and archaeology,South Dublin
Ethan O'Reilly,Ireland,male,64,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Primary,Other arts,Dublin City
Emily O'Brien,Ireland,female,47,Married (first marriage),Employee,Education (P),Upper secondary,Nursing and caring,Kildare
Kian O'Gallagher,Ireland,male,18,Single,Unable to work due to permanent sickness or disability,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Physical sciences (physics/chemistry/earth science),Cork City
Mia O'Neill,Ireland,female,48,Married (first marriage),Unemployed having lost or given up previous job,Financial and insurance activities (K),Advanced certificate/completed apprenticeship,Management and administration,Meath
Thomas McCarthy,Ireland,male,80,Widowed,Looking after home/family,Manufacturing (C),Advanced certificate/completed apprenticeship,Economics,Dun Laoghaire-Rathdown
Holly Gallagher,Ireland,female,47,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Technical/vocational,Hotel/restaurant and catering,Wicklow
Harry O'Neill,Ireland,male,37,Married (first marriage),Employer or own account worker,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Ordinary bachelor degree/professional qualification or both,Other engineering/manufacturing and construction,Dublin City
tiago Pena,Portugal,male,59,Married (first marriage),Employee,Financial and insurance activities (K),Higher certificate,Mechanics and metalwork,Kilkenny
Paulius Kazlauskas,Lithuania,male,50,Married (first marriage),Employer or own account worker,Agriculture/forestry and fishing (A),Lower secondary,Physical sciences (physics/chemistry/earth science),Waterford City
Grace O'Sullivan,Ireland,female,69,Married (first marriage),Employer or own account worker,Education (P),Lower secondary,Other social sciences/business and law subjects,South Tipperary
Kevin Murphy,Ireland,male,63,Divorced,Employee,Manufacturing (C),Primary,Computer science,Louth
Ruby O'Sullivan,Ireland,female,52,Married (first marriage),Employee,Agriculture/forestry and fishing (A),Higher certificate,Hotel/restaurant and catering,Kildare
Lily O'Sullivan,Ireland,female,20,Single,Student or pupil,Professional/scientific and technical activities (M),Lower secondary,Other humanities,Galway City
Jayden O'Sullivan,Ireland,male,53,Married (first marriage),Employee,Administrative and support service activities (N),Lower secondary,Other social sciences/business and law subjects,Galway County
John Murray,Ireland,male,46,Married (first marriage),Looking after home/family,Financial and insurance activities (K),Primary,Electricity and energy,Dun Laoghaire-Rathdown
Lucy O'Brien,Ireland,female,37,Single,Employee,Manufacturing (C),Technical/vocational,Computer use,Dublin City
William O'Byrne,Ireland,male,50,Re-married (following dissolution of previous marriage),Employee,Human health and social work activities (Q),Lower secondary,Architecture and town planning,Fingal
Jakub O'Brien,Ireland,male,48,Married (first marriage),Looking after home/family,Manufacturing (C),Advanced certificate/completed apprenticeship,Physical sciences (physics/chemistry/earth science),Waterford City
Emilia O'Neill,Ireland,female,37,Married (first marriage),Employee,Human health and social work activities (Q),Postgraduate diploma or degree,Computer use,Kildare
Eimear O'Sullivan,Ireland,female,24,Single,Student or pupil,Administrative and support service activities (N),Primary,Secretarial and office work,Dublin City
Mia Moore,Ireland,female,55,Married (first marriage),Employer or own account worker,Education (P),Lower secondary,Business and administration (broad programmes),Kerry
Julia O'Sullivan,Ireland,female,31,Married (first marriage),Student or pupil,Other service activities (S),Postgraduate diploma or degree,Audio-visual techniques and media production,Wexford
Caitlin O'Sullivan,Ireland,female,64,Married (first marriage),Employer or own account worker,Other service activities (S),Lower secondary,Hotel/restaurant and catering,South Tipperary
Sri Sengupta,India,female,38,Married (first marriage),Looking after home/family,Administrative and support service activities (N),Upper secondary,Accounting and taxation,Cork County
Varia Urbonas,Lithuania,female,50,Separated (including deserted),Unemployed having lost or given up previous job,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Other health and welfare,Wicklow
Julie McCarthy,Ireland,female,57,Married (first marriage),Retired,Industry not stated,Lower secondary,Mother tongue,Cork County
Cian Murphy,Ireland,male,28,Single,Employee,Manufacturing (C),Lower secondary,Architecture and town planning,Kildare
Niamh O'Ryan,Ireland,female,44,Single,Unemployed having lost or given up previous job,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Honours bachelor degree/professional qualification or both,Social work and counselling,Meath
Taylor Murphy,Ireland,female,42,Single,Unemployed having lost or given up previous job,Human health and social work activities (Q),Lower secondary,Marketing and advertising,South Dublin
Leah O'Sullivan,Ireland,female,63,Widowed,Looking after home/family,Education (P),Lower secondary,Education and teacher training,Kerry
Cathal Murphy,Ireland,male,28,Single,Student or pupil,Manufacturing (C),Higher certificate,Physical sciences (physics/chemistry/earth science),Meath
Kayla O'Sullivan,Ireland,female,47,Married (first marriage),Employee,Information and communication (J),Postgraduate diploma or degree,Design,Kerry
