FullName,NativeCountry,Gender,Age,MaritalStatus,EconomicStatus,IndustrialGroup,HighestEducationCompleted,FieldOfStudy,County
Jack Doherty,Ireland,male,43,Separated (including deserted),Employee,Administrative and support service activities (N),Upper secondary,Other agriculture and veterinary,South Dublin
Molly O'Kelly,Ireland,female,31,Single,Employee,Agriculture/forestry and fishing (A),Upper secondary,Business and administration (broad programmes),Dublin City
Filip O'Neill,Ireland,male,48,Married (first marriage),Retired,Industry not stated,Upper secondary,Building and civil engineering,Galway City
Alexander O'Sullivan,Ireland,male,30,Married (first marriage),Employee,Accommodation and food service activities (I),Honours bachelor degree/professional qualification or both,Engineering and engineering trades (broad programmes),Westmeath
Freya O'Sullivan,Ireland,female,44,Re-married (following dissolution of previous marriage),Employee,Human health and social work activities (Q),Ordinary bachelor degree/professional qualification or both,Nursing and caring,Wicklow
Jason O'Kelly,Ireland,male,43,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Higher certificate,Nursing and caring,Clare
Conor Smith,Ireland,male,28,Single,Employee,Construction (F),Lower secondary,Biology and biochemistry,Galway City
Ronan O'Reilly,Ireland,male,15,Single,Student or pupil,Professional/scientific and technical activities (M),Primary,Other science/mathematics and computing,Dublin City
Amber MEYER,South Africa,female,44,Married (first marriage),Employee,Human health and social work activities (Q),Ordinary bachelor degree/professional qualification or both,Economics,Meath
Sean O'Neill,Ireland,male,15,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Other engineering/manufacturing and construction,Mayo
Sophie O'Kelly,Ireland,female,78,Widowed,Retired,Industry not stated,Primary,Music and performing arts,South Dublin
Zoe Doherty,Ireland,female,31,Single,Employee,Information and communication (J),Honours bachelor degree/professional qualification or both,Secretarial and office work,Cavan
Anthony O'Sullivan,Ireland,male,15,Single,Student or pupil,Manufacturing (C),Upper secondary,Other humanities,Limerick County
Ciaran Murphy,Ireland,male,42,Married (first marriage),Unable to work due to permanent sickness or disability,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Building and civil engineering,Meath
Charlie O'Sullivan,Ireland,male,36,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Advanced certificate/completed apprenticeship,Engineering and engineering trades (broad programmes),Meath
Mia Quinn,Ireland,female,22,Single,Student or pupil,Human health and social work activities (Q),Upper secondary,Nursing and caring,Laois
